colour,layout,profile,place,backlight,switch,using,top3_1,top3_2,top3_3,dream_kb
green,65%,non low-profile,,no,"linear - black - fast, quite, heavy",,keycult,vega,rama65,ai03 vega
blue,"super compact, 60%",non low-profile,,no,"linear - black - fast, quite, heavy",,duckytkl,custom,razer100,custom
blue,"tkl, 87%-88% (87-88 key)",non low-profile,,yes,"linear - black - fast, quite, heavy",,cyberboard,gk60,razer60,cyberboard
yellow,"super compact, 60%",non low-profile,,no,"linear - black - fast, quite, heavy",,cyberboard,gk60,rk60,cyberboard
orange,"super compact, 60%",non low-profile,everywhere,no,"linear - black - fast, quite, heavy",ducky60,discipline65,ibmmodelm,tofu65,cyberboard
blue,65%,non low-profile,,yes,"linear - black - fast, quite, heavy",,logitech100,corsair100,gk65,gk68xs with cream switch
black,"super compact, 60%",low profile (slim),home,yes,"linear - black - fast, quite, heavy",gk60,gk60,anne60,,gk73
red,"tkl, 87%-88% (87-88 key)",non low-profile,,no,"linear - red - fast, quite, light",,hyperx,razer,reddragon,hyperx
blue,"super compact, 60%",non low-profile,office,no,"linear - black - fast, quite, heavy",gk60,hubble65,fuji65,constellation,iron165 fe
blue,"compact, 75%",non low-profile,,yes,clicky - blue,,kbd75,,,kbd75
black,"tkl, 87%-88% (87-88 key)",non low-profile,,no,tactile,,topre100,keyculttkl,tgr60,keycult no. 1 rev. 2 tkl
green,65%,non low-profile,,maybe,tactile,,melody96,vega,keyculttkl,keycult no2/65
blue,"tkl, 87%-88% (87-88 key)",non low-profile,home,no,tactile,logitech100,ducky60,ibmmodelm,hhkb,keycult no2/65
black,"compact, 75%",non low-profile,,no,tactile,,leopold100,kbdfan75,tofu65,keycult no. 1 rev. 2 tkl
grey,65%,non low-profile,home,yes,"linear - black - fast, quite, heavy",tofu65,tofu65,tofu65,rama65,keycult no2/65
white,"super compact, 60%",non low-profile,,yes,"linear - red - fast, quite, light",,,gk60,leopold65,keycult no2/65
green,"full size, 100% (more than 104 key)",non low-profile,,maybe,"linear - black - fast, quite, heavy",,logitechtkl,logitech100low,logitech100,logitech g915
blue,"super compact, 60%",low profile (slim),,no,"linear - red - fast, quite, light",,logitech wireless,targus,fantech,logitech wireless k400 plus
black,"compact, 75%",low profile (slim),,no,tactile,,logitech wireless,logitech combo,apple magic keyboard,logitech wireless k400 plus
black,"super compact, 60%",non low-profile,,yes,"linear - red - fast, quite, light",,tofu60,nk65,gk60,nk65v2
blue,"tkl, 87%-88% (87-88 key)",non low-profile,office,no,tactile,norbatouch,leopold,ducky,norbatouch,norbaforce
black,"full size, 100% (more than 104 key)",non low-profile,,no,"linear - black - fast, quite, heavy",,tgr,singa,otd,otd 356cl
black,"super compact, 60%",non low-profile,,no,"linear - red - fast, quite, light",,rama60,hhkb,keycult,rama m60
white,"tkl, 87%-88% (87-88 key)",non low-profile,,yes,tactile,,ramatkl,hhkb60,realforcetkl,rama u80-a
black,"super compact, 60%",non low-profile,,no,"linear - black - fast, quite, heavy",,ramatkl,leopold65,tofu65,rama u80-a
yellow,"super compact, 60%",non low-profile,home,yes,tactile,tofu60,topre100,vortex60,custom,rama60
green,"full size, 100% (more than 104 key)",low profile (slim),,yes,"linear - red - fast, quite, light",,razer,,,razer blackwidow v3 pro wireless mechanical gaming keyboard - black
blue,"compact, 75%",non low-profile,,yes,"linear - red - fast, quite, light",,razer,logitech,asus,razer hutsman mini
green,"full size, 100% (more than 104 key)",non low-profile,e-sport,yes,optical switch,razer,razer,,,razer hutsman mini
red,"compact, 75%",low profile (slim),,yes,,,rog100,rogtkl,rog100,rog strix flare pnk ltd
blue,"tkl, 87%-88% (87-88 key)",non low-profile,home,yes,"linear - black - fast, quite, heavy",phantomtecwaretkl,steelseries100,phantomtecwaretkl,ducky60,satisfaction 75
black,"tkl, 87%-88% (87-88 key)",non low-profile,home,no,clicky - blue,hhkb,hhkb,keeblade,tofu60,satisfaction 75
pink,"tkl, 87%-88% (87-88 key)",non low-profile,everywhere,yes,"linear - black - fast, quite, heavy",phantomtecwaretkl,phantomtecwaretkl,wormier65,gk60,singa v3
cyan,"compact, 75%",non low-profile,,yes,tactile,,anne60,phantomtecwaretkl,coolermastertkl,steelseries apex pro tkl
red,"full size, 100% (more than 104 key)",non low-profile,,yes,"linear - red - fast, quite, light",,logitech100,phantomtecwaretkl,gskilltkl,tecware phantom elite with gateron yellows
blue,65%,non low-profile,home,yes,clicky - blue,kemove60,kemove60,ducky,filco,tex shinobi
blue,"compact, 75%",non low-profile,,no,"linear - red - fast, quite, light",,tofu65,arisu,singa,tgr x singa
black,"super compact, 60%",non low-profile,e-sport,yes,tactile,gk60,ducky60,hhkb,dz60,tofu60
non,"compact, 75%",non low-profile,,no,clicky - blue,,topretkl,ducky,filco,topre ivory 55g tkl
purple,"compact, 75%",low profile (slim),,yes,"linear - red - fast, quite, light",,keychron75,vortexgear75,ducky60,vortexgear race 3
